EPIC,DATE_TIME,BID_OPEN,BID_HIGH,BID_LOW,BID_CLOSE,LTV
GBPUSD,01/08/2019 00:00,,,,,
GBPUSD,01/08/2019 00:01,,,,,
GBPUSD,01/08/2019 00:02,,,,,
GBPUSD,01/08/2019 00:03,,,,,
GBPUSD,01/08/2019 00:04,,,,,
GBPUSD,01/08/2019 00:05,,,,,
GBPUSD,01/08/2019 00:06,1.21473,1.215,1.21472,1.21492,196
GBPUSD,01/08/2019 00:07,1.21491,1.21512,1.21491,1.21509,194
GBPUSD,01/08/2019 00:08,1.2151,1.2152,1.2149,1.21514,209
GBPUSD,01/08/2019 00:09,1.21513,1.21522,1.21507,1.21515,128
GBPUSD,01/08/2019 00:10,1.21514,1.21516,1.21477,1.21477,164
GBPUSD,01/08/2019 00:11,1.21478,1.21481,1.21467,1.21471,117
GBPUSD,01/08/2019 00:12,1.2147,1.21472,1.21442,1.21442,146
GBPUSD,01/08/2019 00:13,1.21443,1.2146,1.21431,1.21436,166
GBPUSD,01/08/2019 00:14,1.21435,1.21442,1.21431,1.21437,145
GBPUSD,01/08/2019 00:15,1.21438,1.21447,1.21429,1.21434,136
GBPUSD,01/08/2019 00:16,1.21435,1.21435,1.21388,1.21393,291
GBPUSD,01/08/2019 00:17,1.21392,1.21407,1.21328,1.21343,369
GBPUSD,01/08/2019 00:18,1.21341,1.21365,1.21338,1.21361,223
GBPUSD,01/08/2019 00:19,1.2136,1.21377,1.21359,1.21369,188
GBPUSD,01/08/2019 00:20,1.21368,1.21382,1.21345,1.2135,142
GBPUSD,01/08/2019 00:21,1.21349,1.2135,1.21317,1.21318,170
GBPUSD,01/08/2019 00:22,1.21319,1.21322,1.21288,1.21297,214
GBPUSD,01/08/2019 00:23,1.21296,1.21317,1.21281,1.21281,382
GBPUSD,01/08/2019 00:24,1.21282,1.21303,1.21281,1.21297,229
GBPUSD,01/08/2019 00:25,1.21296,1.21297,1.21255,1.2128,187
GBPUSD,01/08/2019 00:26,1.21279,1.21294,1.21264,1.2127,193
GBPUSD,01/08/2019 00:27,1.21266,1.21288,1.21261,1.21283,134
GBPUSD,01/08/2019 00:28,1.21282,1.21286,1.2128,1.21282,49
GBPUSD,01/08/2019 00:29,1.21283,1.21283,1.21271,1.21273,72
GBPUSD,01/08/2019 00:30,1.21272,1.21277,1.21251,1.21252,149
GBPUSD,01/08/2019 00:31,1.21251,1.21265,1.21246,1.21265,91
GBPUSD,01/08/2019 00:32,1.21266,1.21284,1.2126,1.21275,125
GBPUSD,01/08/2019 00:33,1.21274,1.21278,1.21245,1.21248,223
GBPUSD,01/08/2019 00:34,1.21247,1.21261,1.21242,1.21254,126
GBPUSD,01/08/2019 00:35,1.21253,1.21256,1.21242,1.21243,122
GBPUSD,01/08/2019 00:36,1.21244,1.21265,1.21207,1.21254,229
GBPUSD,01/08/2019 00:37,1.21253,1.21256,1.21226,1.21242,176
GBPUSD,01/08/2019 00:38,1.21243,1.21262,1.21226,1.21259,184
GBPUSD,01/08/2019 00:39,1.2126,1.21265,1.21245,1.21255,168
GBPUSD,01/08/2019 00:40,1.21254,1.21255,1.21234,1.21241,140
GBPUSD,01/08/2019 00:41,1.21239,1.2126,1.21231,1.21254,125
GBPUSD,01/08/2019 00:42,1.21253,1.21254,1.21237,1.2124,101
GBPUSD,01/08/2019 00:43,1.21241,1.21253,1.21232,1.21247,111
