EPIC,DATE_TIME,BID_OPEN,BID_HIGH,BID_LOW,BID_CLOSE,LTV
NZDCAD,2019-07-14 20:00:00,0.87083,0.87083,0.87083,0.87083,1
NZDCAD,2019-07-14 20:05:00,0.87094,0.87116,0.87094,0.87116,3
NZDCAD,2019-07-14 20:06:00,0.87117,0.87117,0.87117,0.87117,1
NZDCAD,2019-07-14 20:09:00,0.87116,0.87116,0.87116,0.87116,
NZDCAD,2019-07-14 20:15:00,0.87117,0.87153,0.87104,0.87104,5
NZDCAD,2019-07-14 20:17:00,0.87105,0.87105,0.87105,0.87105,1
NZDCAD,2019-07-14 20:18:00,0.87101,0.87139,0.87101,0.87139,7
NZDCAD,2019-07-14 20:20:00,0.87141,0.87141,0.87141,0.87141,1
NZDCAD,2019-07-14 20:26:00,0.87139,0.87139,0.87139,0.87139,
NZDCAD,2019-07-14 20:32:00,0.87140,0.87140,0.87140,0.87140,1
NZDCAD,2019-07-14 20:38:00,0.87137,0.87153,0.87120,0.87139,13
NZDCAD,2019-07-14 20:43:00,0.87158,0.87158,0.87132,0.87132,3
NZDCAD,2019-07-14 20:46:00,0.87139,0.87139,0.87139,0.87139,1
NZDCAD,2019-07-14 20:47:00,0.87156,0.87156,0.87129,0.87139,4
NZDCAD,2019-07-14 20:53:00,0.87140,0.87140,0.87140,0.87140,1
NZDCAD,2019-07-14 20:54:00,0.87139,0.87139,0.87139,0.87139,1
NZDCAD,2019-07-14 20:58:00,0.87144,0.87144,0.87144,0.87144,
NZDCAD,2019-07-14 20:59:00,0.87136,0.87136,0.87136,0.87136,
NZDCAD,2019-07-14 21:00:00,0.87071,0.87071,0.87063,0.87063,2
NZDCAD,2019-07-14 21:01:00,0.87071,0.87073,0.87063,0.87063,5
NZDCAD,2019-07-14 21:02:00,0.87077,0.87143,0.87077,0.87143,2
NZDCAD,2019-07-14 21:03:00,0.87144,0.87145,0.87144,0.87145,2
NZDCAD,2019-07-14 21:04:00,0.87146,0.87147,0.87130,0.87146,8
NZDCAD,2019-07-14 21:05:00,0.87147,0.87148,0.87076,0.87076,18
NZDCAD,2019-07-14 21:06:00,0.87148,0.87148,0.87113,0.87139,9
NZDCAD,2019-07-14 21:07:00,0.87125,0.87140,0.87125,0.87140,5
NZDCAD,2019-07-14 21:08:00,0.87141,0.87144,0.87141,0.87144,4
NZDCAD,2019-07-14 21:09:00,0.87076,0.87142,0.87076,0.87082,6
NZDCAD,2019-07-14 21:10:00,0.87086,0.87172,0.87076,0.87172,29
