FILE,N_DAYS_MISSING,MAX_TGAP,,,,,,,,,
GBPUSD-2015-01.csv,4,556,04/01/2015,11/01/2015,18/01/2015,25/01/2015,,,,,
GBPUSD-2015-02.csv,3,502,08/02/2015,15/02/2015,22/02/2015,,,,,,
GBPUSD-2015-03.csv,4,999,08/03/2015,15/03/2015,22/03/2015,29/03/2015,,,,,
GBPUSD-2015-04.csv,4,3962,05/04/2015,12/04/2015,19/04/2015,26/04/2015,,,,,
GBPUSD-2015-05.csv,4,291,03/05/2015,10/05/2015,17/05/2015,24/05/2015,,,,,
GBPUSD-2015-06.csv,4,339,07/06/2015,14/06/2015,21/06/2015,28/06/2015,,,,,
GBPUSD-2015-07.csv,4,375,05/07/2015,12/07/2015,19/07/2015,26/07/2015,,,,,
GBPUSD-2015-08.csv,4,388,09/08/2015,16/08/2015,23/08/2015,30/08/2015,,,,,
GBPUSD-2015-09.csv,4,392,06/09/2015,13/09/2015,20/09/2015,27/09/2015,,,,,
GBPUSD-2015-10.csv,4,86399,04/10/2015,11/10/2015,18/10/2015,25/10/2015,,,,,
GBPUSD-2015-11.csv,4,561,08/11/2015,15/11/2015,22/11/2015,29/11/2015,,,,,
GBPUSD-2015-12.csv,4,1099,06/12/2015,13/12/2015,20/12/2015,27/12/2015,,,,,
GBPUSD-2016-01.csv,3,268,10/01/2016,17/01/2016,24/01/2016,,,,,,
GBPUSD-2016-02.csv,4,276,07/02/2016,14/02/2016,21/02/2016,28/02/2016,,,,,
GBPUSD-2016-03.csv,4,82824,06/03/2016,13/03/2016,20/03/2016,27/03/2016,,,,,
GBPUSD-2016-04.csv,4,118,03/04/2016,10/04/2016,17/04/2016,24/04/2016,,,,,
GBPUSD-2016-05.csv,4,119,08/05/2016,15/05/2016,22/05/2016,29/05/2016,,,,,
GBPUSD-2016-06.csv,4,743,05/06/2016,12/06/2016,19/06/2016,26/06/2016,,,,,
GBPUSD-2016-07.csv,4,349,03/07/2016,10/07/2016,17/07/2016,24/07/2016,,,,,
GBPUSD-2016-08.csv,4,115,07/08/2016,14/08/2016,21/08/2016,28/08/2016,,,,,
GBPUSD-2016-09.csv,4,108,04/09/2016,11/09/2016,18/09/2016,25/09/2016,,,,,
GBPUSD-2016-10.csv,4,1097,09/10/2016,16/10/2016,23/10/2016,30/10/2016,,,,,
GBPUSD-2016-11.csv,4,110,06/11/2016,13/11/2016,20/11/2016,27/11/2016,,,,,
GBPUSD-2016-12.csv,4,109,04/12/2016,11/12/2016,18/12/2016,25/12/2016,,,,,
